"loan_amnt";"funded_amnt";"int_rate";"grade";"emp_length";"home_ownership";"annual_inc";"loan_status";"purpose";"dti";"loan_status_1";"int_rate_grp";"emp_len_grp"
26;26;16;"D";"10+ years";"MORTGAGE";53;"Charged Off";"home_improvement";11,77;"default_new";"Medium";"Senior"
7;7;11;"B";"6 years";"MORTGAGE";69,6;"Charged Off";"credit_card";26,22;"default_new";"Medium";"Mid-level"
10;10;12;"B";"2 years";"RENT";70;"Charged Off";"credit_card";2,69;"default_new";"Medium";"Junior"
15,6;15,6;12;"B";"10+ years";"RENT";50;"Charged Off";"vacation";5,78;"default_new";"Medium";"Senior"
18,825;18,825;17;"D";"4 years";"MORTGAGE";44;"Current";"debt_consolidation";24,98;"current_new";"Medium";"Junior"
4;4;12;"B";"2 years";"RENT";25;"Charged Off";"debt_consolidation";6,86;"default_new";"Medium";"Junior"
10;10;12;"B";"10+ years";"RENT";39;"Charged Off";"credit_card";18,31;"default_new";"Medium";"Senior"
12,3;12,3;13;"C";"2 years";"MORTGAGE";30;"Current";"debt_consolidation";12,76;"current_new";"Medium";"Junior"
12;12;8;"A";"7 years";"RENT";80;"Charged Off";"other";9,13;"default_new";"Low";"Mid-level"
16;16;13;"C";"10+ years";"RENT";35;"Charged Off";"small_business";16,22;"default_new";"Medium";"Senior"
11,875;11,875;12;"B";"< 1 year";"RENT";25,92;"Charged Off";"debt_consolidation";23,75;"default_new";"Medium";"Junior"
14;14;7;"A";"10+ years";"OWN";45,6;"Charged Off";"debt_consolidation";19,74;"default_new";"Low";"Senior"
18;18;15;"C";"1 year";"MORTGAGE";84;"Current";"credit_card";11,41;"current_new";"Medium";"Junior"
8;8;16;"D";"5 years";"RENT";50;"Charged Off";"credit_card";13,22;"default_new";"Medium";"Mid-level"
30;30;12;"B";"3 years";"RENT";70;"Charged Off";"small_business";0,94;"default_new";"Medium";"Junior"
18;18;16;"D";"6 years";"OWN";40;"Charged Off";"home_improvement";18,42;"default_new";"Medium";"Mid-level"
20;20;20;"E";"10+ years";"OWN";59;"Charged Off";"debt_consolidation";20,91;"default_new";"High";"Senior"
9;9;19;"E";"3 years";"RENT";60;"Charged Off";"credit_card";22,56;"default_new";"High";"Junior"
25;25;18;"E";"10+ years";"RENT";61,5;"Charged Off";"debt_consolidation";12,6;"default_new";"Medium";"Senior"
20;20;15;"C";"10+ years";"OWN";78,216;"Charged Off";"debt_consolidation";10,79;"default_new";"Medium";"Senior"
18;18;17;"D";"1 year";"MORTGAGE";62;"Charged Off";"debt_consolidation";7,82;"default_new";"Medium";"Junior"
20;20;14;"C";"2 years";"MORTGAGE";56;"Current";"credit_card";12,15;"current_new";"Medium";"Junior"
5;5;12;"B";"2 years";"RENT";30;"Charged Off";"debt_consolidation";23,84;"default_new";"Medium";"Junior"
25;25;19;"E";"10+ years";"RENT";75;"Current";"debt_consolidation";19,63;"current_new";"High";"Senior"
18;18;19;"E";"3 years";"RENT";90;"Current";"credit_card";11,32;"current_new";"High";"Junior"
12;12;9;"B";"10+ years";"RENT";55;"Charged Off";"debt_consolidation";13;"default_new";"Low";"Senior"
20;13,475;10;"B";"2 years";"MORTGAGE";136,5;"Current";"debt_consolidation";5,23;"current_new";"Low";"Junior"
20;20;16;"D";"7 years";"RENT";50;"Current";"credit_card";22,82;"current_new";"Medium";"Mid-level"
20;20;12;"B";"7 years";"OWN";85;"Current";"home_improvement";10,21;"current_new";"Medium";"Mid-level"
10;10;11;"B";"5 years";"RENT";32;"Charged Off";"credit_card";21,83;"default_new";"Medium";"Mid-level"
24;24;8;"A";"10+ years";"MORTGAGE";116,4;"Charged Off";"car";3,94;"default_new";"Low";"Senior"
12;12;11;"B";"10+ years";"RENT";57,2;"Charged Off";"debt_consolidation";16,36;"default_new";"Medium";"Senior"
10;10;12;"B";"2 years";"RENT";35;"Charged Off";"debt_consolidation";12,03;"default_new";"Medium";"Junior"
9,75;9,75;7;"A";"4 years";"RENT";35;"Charged Off";"debt_consolidation";29,04;"default_new";"Low";"Junior"
3;3;19;"E";"3 years";"RENT";53,004;"Current";"other";10,73;"current_new";"High";"Junior"
25;25;19;"E";"10+ years";"RENT";60;"Charged Off";"credit_card";20,04;"default_new";"High";"Senior"
8,875;8,875;12;"B";"5 years";"MORTGAGE";35,36;"Charged Off";"debt_consolidation";23,11;"default_new";"Medium";"Mid-level"
17;17;15;"C";"8 years";"RENT";65;"Current";"debt_consolidation";16,84;"current_new";"Medium";"Mid-level"
12;12;8;"A";"3 years";"RENT";32;"Charged Off";"debt_consolidation";6,75;"default_new";"Low";"Junior"
15;15;12;"B";"3 years";"OWN";30;"Charged Off";"debt_consolidation";24,76;"default_new";"Medium";"Junior"
8,05;8,05;12;"B";"1 year";"RENT";36;"Charged Off";"debt_consolidation";14,8;"default_new";"Medium";"Junior"
6;6;7;"A";"< 1 year";"RENT";30,084;"Charged Off";"debt_consolidation";1,68;"default_new";"Low";"Junior"
1,5;1,5;18;"E";"< 1 year";"RENT";17;"Charged Off";"other";4,59;"default_new";"Medium";"Junior"
20;16,925;14;"C";"10+ years";"RENT";75;"Charged Off";"debt_consolidation";16,51;"default_new";"Medium";"Senior"
25,975;16,475;12;"B";"10+ years";"MORTGAGE";130;"Current";"debt_consolidation";26,13;"current_new";"Medium";"Senior"
1;1;14;"C";"n/a";"RENT";18,408;"Charged Off";"major_purchase";6;"default_new";"Medium";"Junior"
8,5;8,5;14;"C";"9 years";"RENT";50;"Charged Off";"debt_consolidation";8,5;"default_new";"Medium";"Senior"
33,425;20,675;13;"C";"2 years";"MORTGAGE";75;"Charged Off";"debt_consolidation";25,71;"default_new";"Medium";"Junior"
35;33,5;19;"E";"8 years";"RENT";136,5;"Current";"debt_consolidation";11,72;"current_new";"High";"Mid-level"
18;18;11;"B";"< 1 year";"RENT";40;"Charged Off";"debt_consolidation";18,18;"default_new";"Medium";"Junior"
20;20;16;"D";"10+ years";"RENT";60;"Charged Off";"debt_consolidation";9,46;"default_new";"Medium";"Senior"
6;6;17;"D";"3 years";"RENT";30,12;"Current";"debt_consolidation";15,54;"current_new";"Medium";"Junior"
18;18;13;"C";"10+ years";"MORTGAGE";40,9;"Current";"debt_consolidation";13,7;"current_new";"Medium";"Senior"
14,4;14,4;18;"D";"5 years";"RENT";51,871;"Charged Off";"debt_consolidation";7,82;"default_new";"Medium";"Mid-level"
4,2;4,2;17;"D";"9 years";"RENT";43;"Charged Off";"debt_consolidation";10,13;"default_new";"Medium";"Senior"
3;3;10;"B";"10+ years";"MORTGAGE";86,004;"Charged Off";"other";13,37;"default_new";"Low";"Senior"
15;15;16;"D";"1 year";"RENT";110;"Charged Off";"small_business";21,99;"default_new";"Medium";"Junior"
10;10;17;"D";"8 years";"RENT";68;"Charged Off";"debt_consolidation";17,15;"default_new";"Medium";"Mid-level"
16;16;7;"A";"1 year";"RENT";51;"Charged Off";"debt_consolidation";24,66;"default_new";"Low";"Junior"
2,2;2,2;15;"C";"10+ years";"OWN";48;"Charged Off";"debt_consolidation";5,47;"default_new";"Medium";"Senior"
20;20;12;"B";"10+ years";"RENT";49;"Current";"other";17,78;"current_new";"Medium";"Senior"
25;25;19;"E";"10+ years";"RENT";105;"Current";"credit_card";21,13;"current_new";"High";"Senior"
8;8;8;"A";"1 year";"RENT";51,204;"Charged Off";"debt_consolidation";25,12;"default_new";"Low";"Junior"
25;19,95;14;"C";"10+ years";"MORTGAGE";85;"Current";"debt_consolidation";13,41;"current_new";"Medium";"Senior"
16,1;16,1;11;"B";"< 1 year";"MORTGAGE";36;"Current";"debt_consolidation";27,8;"current_new";"Medium";"Junior"
35;23,25;20;"E";"3 years";"OWN";85;"Charged Off";"debt_consolidation";16,39;"default_new";"High";"Junior"
12;12;14;"C";"< 1 year";"RENT";75;"Charged Off";"credit_card";16,13;"default_new";"Medium";"Junior"
15;15;11;"B";"10+ years";"MORTGAGE";72;"Current";"debt_consolidation";26,48;"current_new";"Medium";"Senior"
21,25;21,25;12;"B";"5 years";"RENT";37;"Charged Off";"other";14,27;"default_new";"Medium";"Mid-level"
15;15;15;"C";"10+ years";"RENT";60;"Charged Off";"debt_consolidation";10,72;"default_new";"Medium";"Senior"
4;4;12;"B";"6 years";"RENT";30;"Charged Off";"home_improvement";17,6;"default_new";"Medium";"Mid-level"
4;4;19;"E";"10+ years";"RENT";45;"Charged Off";"house";15,2;"default_new";"High";"Senior"
1,7;1,7;7;"A";"n/a";"MORTGAGE";37,8;"Charged Off";"home_improvement";27;"default_new";"Low";"Junior"
12;12;14;"C";"6 years";"RENT";54,4;"Charged Off";"debt_consolidation";13,81;"default_new";"Medium";"Mid-level"
8;8;20;"E";"1 year";"RENT";42,5;"Charged Off";"debt_consolidation";14,23;"default_new";"High";"Junior"
13;13;23;"G";"10+ years";"RENT";61;"Current";"debt_consolidation";11,65;"current_new";"High";"Senior"
13;13;16;"D";"10+ years";"RENT";28;"Charged Off";"debt_consolidation";12,9;"default_new";"Medium";"Senior"
24;24;17;"D";"5 years";"RENT";68,809;"Charged Off";"debt_consolidation";21,29;"default_new";"Medium";"Mid-level"
11,2;11,2;12;"B";"3 years";"RENT";75;"Charged Off";"car";22,88;"default_new";"Medium";"Junior"
12;12;14;"C";"2 years";"RENT";28;"Charged Off";"credit_card";8,49;"default_new";"Medium";"Junior"
28;28;7;"A";"4 years";"MORTGAGE";118;"Charged Off";"home_improvement";5,29;"default_new";"Low";"Junior"
3;3;7;"A";"10+ years";"MORTGAGE";65;"Charged Off";"other";4,89;"default_new";"Low";"Senior"
18,55;11,6;19;"E";"2 years";"RENT";45;"Current";"debt_consolidation";21,68;"current_new";"High";"Junior"
12;9,6;14;"C";"3 years";"RENT";65;"Current";"debt_consolidation";14,44;"current_new";"Medium";"Junior"
8,575;8,575;17;"D";"n/a";"MORTGAGE";32;"Charged Off";"debt_consolidation";22,54;"default_new";"Medium";"Junior"
28;18,625;12;"B";"8 years";"MORTGAGE";84,996;"Charged Off";"debt_consolidation";23,41;"default_new";"Medium";"Mid-level"
16;16;18;"D";"10+ years";"MORTGAGE";49;"Charged Off";"credit_card";18,39;"default_new";"Medium";"Senior"
11;11;7;"A";"4 years";"MORTGAGE";80;"Charged Off";"credit_card";4,74;"default_new";"Low";"Junior"
5;5;16;"D";"6 years";"MORTGAGE";85;"Charged Off";"medical";22,81;"default_new";"Medium";"Mid-level"
10;10;12;"B";"6 years";"OWN";36;"Charged Off";"debt_consolidation";15,9;"default_new";"Medium";"Mid-level"
3;3;16;"D";"4 years";"MORTGAGE";65;"Charged Off";"other";15,16;"default_new";"Medium";"Junior"
7,7;7,7;16;"D";"3 years";"RENT";29,77296;"Charged Off";"other";18,58;"default_new";"Medium";"Junior"
18,5;11,925;19;"E";"10+ years";"MORTGAGE";68;"In Grace Period";"debt_consolidation";20,89;"current_new";"High";"Senior"
24,5;24,5;20;"F";"4 years";"RENT";85;"Charged Off";"credit_card";9,09;"default_new";"High";"Junior"
22,2;22,2;19;"E";"2 years";"RENT";136,5;"Charged Off";"debt_consolidation";13,33;"default_new";"High";"Junior"
13;13;7;"A";"10+ years";"RENT";28;"Charged Off";"credit_card";16,93;"default_new";"Low";"Senior"
3,6;3,6;12;"B";"10+ years";"MORTGAGE";60;"Charged Off";"medical";19;"default_new";"Medium";"Senior"
12,375;12,375;23;"G";"5 years";"RENT";40;"Charged Off";"other";20,88;"default_new";"High";"Mid-level"
25;17,275;19;"E";"10+ years";"MORTGAGE";96;"Current";"debt_consolidation";16,19;"current_new";"High";"Senior"
16,95;16,95;16;"D";"10+ years";"MORTGAGE";50;"Late (31-120 days)";"debt_consolidation";14,47;"late";"Medium";"Senior"
3;3;17;"D";"5 years";"RENT";35;"Current";"debt_consolidation";11,42;"current_new";"Medium";"Mid-level"
7,1;7,1;14;"C";"1 year";"RENT";33;"Charged Off";"debt_consolidation";23,85;"default_new";"Medium";"Junior"
22,4;22,4;22;"G";"6 years";"RENT";85;"Charged Off";"credit_card";7,02;"default_new";"High";"Mid-level"
22,25;22,25;12;"B";"2 years";"RENT";41;"Charged Off";"debt_consolidation";15,63;"default_new";"Medium";"Junior"
18;18;16;"D";"2 years";"RENT";50;"Current";"debt_consolidation";21,22;"current_new";"Medium";"Junior"
7,65;7,65;11;"B";"5 years";"RENT";57;"Charged Off";"debt_consolidation";23,96;"default_new";"Medium";"Mid-level"
21;21;18;"D";"2 years";"RENT";110;"Current";"credit_card";13,55;"current_new";"Medium";"Junior"
20,675;20,675;15;"C";"7 years";"RENT";50,132;"Charged Off";"other";23,31;"default_new";"Medium";"Mid-level"
20,5;20,5;12;"B";"< 1 year";"RENT";47,8;"Charged Off";"debt_consolidation";28,32;"default_new";"Medium";"Junior"
7,6;7,6;16;"D";"1 year";"RENT";33,996;"Current";"other";16,52;"current_new";"Medium";"Junior"
29;29;12;"B";"10+ years";"RENT";65;"Charged Off";"debt_consolidation";7,22;"default_new";"Medium";"Senior"
12;12;15;"C";"9 years";"MORTGAGE";88;"Charged Off";"debt_consolidation";10,6;"default_new";"Medium";"Senior"
25;25;14;"C";"5 years";"MORTGAGE";89;"Current";"debt_consolidation";10,77;"current_new";"Medium";"Mid-level"
10;10;13;"C";"10+ years";"RENT";30;"Charged Off";"debt_consolidation";20,96;"default_new";"Medium";"Senior"
12;12;12;"B";"7 years";"RENT";30;"Current";"debt_consolidation";10,44;"current_new";"Medium";"Mid-level"
21,6;21,6;17;"D";"2 years";"MORTGAGE";58,6;"Charged Off";"home_improvement";10,85;"default_new";"Medium";"Junior"
7,6;7,6;16;"D";"5 years";"OWN";50;"Current";"small_business";6,29;"current_new";"Medium";"Mid-level"
10;8,65;12;"B";"2 years";"RENT";42,336;"Current";"small_business";10,18;"current_new";"Medium";"Junior"
35;21,8;12;"B";"10+ years";"RENT";90;"Current";"debt_consolidation";26,33;"current_new";"Medium";"Senior"
8,25;8,25;19;"E";"3 years";"RENT";27,5;"Charged Off";"wedding";20,25;"default_new";"High";"Junior"
12;12;12;"B";"< 1 year";"RENT";60;"Charged Off";"car";6,3;"default_new";"Medium";"Junior"
7,2;7,2;11;"B";"2 years";"RENT";33;"Charged Off";"credit_card";12,69;"default_new";"Medium";"Junior"
10;10;11;"B";"5 years";"OWN";35;"Charged Off";"debt_consolidation";11,79;"default_new";"Medium";"Mid-level"
10;10;14;"C";"10+ years";"MORTGAGE";77,4;"Charged Off";"credit_card";20,05;"default_new";"Medium";"Senior"
35;21,275;11;"B";"8 years";"RENT";70;"Current";"debt_consolidation";19,42;"current_new";"Medium";"Mid-level"
6,5;6,5;14;"C";"n/a";"MORTGAGE";46,212;"Current";"debt_consolidation";19,06;"current_new";"Medium";"Junior"
14,1;14,1;17;"D";"4 years";"RENT";43;"Current";"small_business";4,83;"current_new";"Medium";"Junior"
35;22,05;19;"E";"10+ years";"MORTGAGE";136,5;"Current";"small_business";4,29;"current_new";"High";"Senior"
25;15,325;19;"E";"7 years";"RENT";95;"Current";"debt_consolidation";15,56;"current_new";"High";"Mid-level"
6;6;14;"C";"7 years";"RENT";30;"Charged Off";"credit_card";15,68;"default_new";"Medium";"Mid-level"
7;7;16;"D";"< 1 year";"RENT";41;"Charged Off";"wedding";20,31;"default_new";"Medium";"Junior"
3;3;12;"B";"10+ years";"RENT";30;"Charged Off";"debt_consolidation";15,4;"default_new";"Medium";"Senior"
13,2;13,2;11;"B";"2 years";"MORTGAGE";41,6;"Charged Off";"debt_consolidation";9,55;"default_new";"Medium";"Junior"
20;20;18;"D";"7 years";"RENT";70;"Charged Off";"small_business";18,41;"default_new";"Medium";"Mid-level"
14,125;14,125;12;"B";"n/a";"MORTGAGE";45,696;"Charged Off";"debt_consolidation";21,93;"default_new";"Medium";"Junior"
18;18;13;"C";"< 1 year";"OWN";66;"Charged Off";"debt_consolidation";12,87;"default_new";"Medium";"Junior"
12;12;11;"B";"10+ years";"RENT";70;"Current";"debt_consolidation";21,17;"current_new";"Medium";"Senior"
12,8;12,8;11;"B";"1 year";"RENT";61,6;"Current";"debt_consolidation";21,8;"current_new";"Medium";"Junior"
35;21,35;20;"F";"10+ years";"MORTGAGE";71,316;"Charged Off";"debt_consolidation";14,79;"default_new";"High";"Senior"
15;15;16;"D";"8 years";"RENT";42;"Current";"credit_card";15,69;"current_new";"Medium";"Mid-level"
16;16;17;"D";"< 1 year";"RENT";50;"Charged Off";"debt_consolidation";21,14;"default_new";"Medium";"Junior"
12;12;7;"A";"< 1 year";"RENT";83;"Charged Off";"debt_consolidation";8,36;"default_new";"Low";"Junior"
13;13;20;"E";"5 years";"RENT";42;"Charged Off";"debt_consolidation";7,69;"default_new";"High";"Mid-level"
7,125;7,125;7;"A";"< 1 year";"MORTGAGE";30;"Charged Off";"debt_consolidation";18,12;"default_new";"Low";"Junior"
14;14;18;"D";"10+ years";"RENT";32;"Current";"wedding";16,28;"current_new";"Medium";"Senior"
12;8,175;13;"C";"1 year";"RENT";75;"Current";"other";23,58;"current_new";"Medium";"Junior"
9,6;9,6;7;"A";"10+ years";"RENT";55;"Charged Off";"debt_consolidation";27,34;"default_new";"Low";"Senior"
12;12;12;"B";"10+ years";"MORTGAGE";63;"Charged Off";"debt_consolidation";20,67;"default_new";"Medium";"Senior"
18;12,325;11;"B";"10+ years";"MORTGAGE";133,224;"Current";"home_improvement";10,97;"current_new";"Medium";"Senior"
15;15;15;"C";"6 years";"RENT";38;"Charged Off";"credit_card";13,83;"default_new";"Medium";"Mid-level"
12;12;14;"C";"3 years";"RENT";41;"Current";"medical";22,77;"current_new";"Medium";"Junior"
22,25;22,25;15;"C";"2 years";"MORTGAGE";47,532;"Charged Off";"debt_consolidation";23,76;"default_new";"Medium";"Junior"
13,25;13,25;17;"D";"< 1 year";"RENT";26;"Current";"debt_consolidation";10,89;"current_new";"Medium";"Junior"
7;7;15;"C";"3 years";"OWN";75;"Current";"other";21,66;"current_new";"Medium";"Junior"
13;13;16;"D";"9 years";"MORTGAGE";50;"Current";"wedding";19,13;"current_new";"Medium";"Senior"
6;6;11;"B";"1 year";"RENT";37;"Charged Off";"small_business";6,68;"default_new";"Medium";"Junior"
8,2;8,2;16;"D";"10+ years";"RENT";42;"Charged Off";"credit_card";5,06;"default_new";"Medium";"Senior"
15;15;15;"C";"8 years";"RENT";37;"Charged Off";"credit_card";20,14;"default_new";"Medium";"Mid-level"
15,7;9,875;19;"E";"< 1 year";"MORTGAGE";60;"Charged Off";"debt_consolidation";9,12;"default_new";"High";"Junior"
35;22,875;19;"E";"4 years";"MORTGAGE";136,5;"Charged Off";"credit_card";14,08;"default_new";"High";"Junior"
21;21;14;"C";"4 years";"MORTGAGE";70;"Current";"credit_card";20,11;"current_new";"Medium";"Junior"
12;8,225;17;"D";"10+ years";"RENT";78;"Charged Off";"debt_consolidation";13,18;"default_new";"Medium";"Senior"
20;20;20;"E";"5 years";"MORTGAGE";51,75;"Current";"debt_consolidation";18,97;"current_new";"High";"Mid-level"
13;13;19;"E";"7 years";"RENT";55;"Charged Off";"credit_card";19,09;"default_new";"High";"Mid-level"
8;8;15;"C";"2 years";"OWN";108;"Charged Off";"house";12,48;"default_new";"Medium";"Junior"
15,5;15,5;13;"C";"4 years";"RENT";40;"Current";"debt_consolidation";11,19;"current_new";"Medium";"Junior"
8;5,05;11;"B";"3 years";"MORTGAGE";88;"Current";"wedding";3,25;"current_new";"Medium";"Junior"
30;18,55;20;"E";"8 years";"RENT";75;"Current";"debt_consolidation";18,77;"current_new";"High";"Mid-level"
17,475;17,475;7;"A";"8 years";"MORTGAGE";90;"Current";"home_improvement";8,44;"current_new";"Low";"Mid-level"
7;7;8;"A";"n/a";"MORTGAGE";25;"Current";"debt_consolidation";15,17;"current_new";"Low";"Junior"
35;33,5;19;"E";"4 years";"MORTGAGE";69;"Current";"home_improvement";9,41;"current_new";"High";"Junior"
1,2;1,2;12;"B";"8 years";"RENT";34;"Charged Off";"vacation";13,41;"default_new";"Medium";"Mid-level"
5;5;7;"A";"< 1 year";"MORTGAGE";66;"Charged Off";"small_business";7,75;"default_new";"Low";"Junior"
35;33,5;20;"F";"5 years";"RENT";90;"Charged Off";"debt_consolidation";7,93;"default_new";"High";"Mid-level"
22;22;19;"E";"4 years";"RENT";82,5;"Current";"debt_consolidation";16,2;"current_new";"High";"Junior"
13,25;13,25;17;"D";"7 years";"RENT";35;"Charged Off";"debt_consolidation";18,55;"default_new";"Medium";"Mid-level"
12;12;19;"E";"4 years";"RENT";68;"Current";"debt_consolidation";23,15;"current_new";"High";"Junior"
10;10;11;"B";"5 years";"RENT";29,406;"Charged Off";"debt_consolidation";10,41;"default_new";"Medium";"Mid-level"
2,2;2,2;9;"B";"8 years";"RENT";26,004;"Charged Off";"debt_consolidation";14,95;"default_new";"Low";"Mid-level"
24;24;12;"B";"1 year";"RENT";120;"Charged Off";"credit_card";13,9;"default_new";"Medium";"Junior"
10,625;10,625;14;"C";"10+ years";"RENT";26,5;"Charged Off";"debt_consolidation";15,49;"default_new";"Medium";"Senior"
7,2;7,2;20;"F";"< 1 year";"MORTGAGE";88,8;"Charged Off";"debt_consolidation";20,46;"default_new";"High";"Junior"
30;30;21;"F";"2 years";"RENT";85;"Current";"debt_consolidation";11,44;"current_new";"High";"Junior"
10,4;10,4;22;"F";"3 years";"MORTGAGE";72;"Charged Off";"debt_consolidation";8,82;"default_new";"High";"Junior"
